scientific_name,common_name,description,image_url
Cephalocereus senilis ,Old Man Cactus,"Cephalocereus senilis, the ""old man cactus,"" is a slow-growing columnar cactus covered in long white hairs that look like a beard. Native to Mexico, it likes bright light, warmth, little water, and well-draining soil. Protect it from frost.",
Copiapoa gigantea,"
","Copiapoa gigantea is a slow-growing, large clumping cactus from the arid coastal deserts of northern Chile. It forms thick, ribbed blue-green stems with stout spines and woolly crowns, producing yellow flowers. It tolerates intense sun and very little water.",
Dracaena ballyi 'Tom Grumbley',Tom Grumbley Snake Plant,"Dracaena ballyi 'Tom Grumbley' is a compact, slow-growing succulent houseplant with short, upright mottled leaves and subtle banding. Tough and low-maintenance, it tolerates low light and infrequent watering, making it perfect for small pots, desks, or beginner plant owners.",
Agave 'Dragon's Toes',Dragon's Toes,"Agave 'Dragon's Toes' is a compact succulent forming a tight rosette of finger-like, variegated leaves with green centers and bright yellow margins. Tough and drought-tolerant, it’s perfect for containers or rock gardens in full sun to light shade.",
Aloe arborescens 'Variegata',Variegated Octopus Aloe,"Aloe arborescens 'Variegata' is a compact, evergreen succulent with spiky, green leaves edged in creamy-yellow variegation. It forms clumping rosettes, produces bright red-orange tubular flowers in winter, tolerates drought and sun, and suits containers or dry gardens.",
Dracaena pethera,"
","Dracaena pethera is a popular, easy-care indoor plant with upright cane-like stems and glossy, variegated leaves edged in cream or yellow. It tolerates low light, prefers moderate watering, and adds a graceful, tropical look to homes and offices.",
Dracaena trifasciata 'Moonshine',Moonshine Snake Plant,"Dracaena trifasciata 'Moonshine' is a slow-growing snake plant with silvery-green, upright swordlike leaves. It's low-maintenance, tolerates low light and drought, and makes a great indoor air-purifying houseplant. Keep soil well-draining and water sparingly.",
Gasteria batesiana 'Variegata',Variegated Gasteria ,"Gasteria batesiana 'Variegata' is a small, slow-growing succulent with thick, cream-and-green striped leaves arranged in compact rosettes. Easy-care and drought-tolerant, it prefers bright, indirect light, well-draining soil, and infrequent watering—great for pots or rock gardens.",
Nopalea cochenillifera forma variegata,Variegated Nopal,"Nopalea cochenillifera forma variegata is a small, paddle-shaped cactus with cream-and-green variegated, often nearly spineless pads. It bears bright magenta tubular flowers in summer, tolerates drought, and is an attractive, low-maintenance ornamental for sunny, well-drained spots.",
FEROCACTUS  GLAUCESCENS,"
","Ferocactus glaucescens, the blue barrel cactus, is a round, slow-growing cactus with powdery blue-green skin and strong hooked golden spines. It produces bright yellow flowers and red fruits, tolerates sun and drought, and suits rock gardens or containers.",
Pilosocereus palmeri ,Wooly Torch Cactus,"Pilosocereus palmeri is a tall, columnar cactus from Mexico with bluish-green ribbed stems covered in woolly areoles and sharp spines. It produces night-blooming, pale tubular flowers and small fleshy fruits. Often grown as an ornamental and provides shelter for wildlife.",
Opuntia echios,"
","Opuntia echios is a prickly-pear cactus native to the Galápagos Islands. It forms shrubby to tree-like clumps of flat, water-storing pads with sharp spines, bright yellow flowers and red edible fruits. It thrives on dry volcanic soils and provides food and shelter for wildlife.",
Euphorbia buruana,"
","Euphorbia buruana is a small succulent shrub native to Buru Island in Indonesia. It has green, water-storing stems, tiny clustered flowers (called cyathia) and milky sap. It prefers rocky or open sites and its latex can irritate skin if handled.",
Aloe acutissima var. antanimorensis,"
","Aloe acutissima var. antanimorensis is a small, drought-tolerant succulent forming spiky rosettes of thick, toothed leaves. It sends up tall stalks of tubular orange-red flowers in season. Easy to grow in full sun with well-draining soil or in containers.",
Aloe conifera,"
","Aloe conifera is a small succulent from Madagascar with rosettes of thick, triangular green leaves often edged with tiny teeth. It bears tall spikes of tubular orange-red flowers that attract pollinators and thrives in sunny, well-drained soil.",
Aloe erythrophylla,"
","Aloe erythrophylla is a small, clumping succulent with fleshy, often reddish leaves arranged in a rosette. It produces tall spikes of tubular orange-red flowers. Drought-tolerant and sun-loving, it thrives in well-draining soil and suits rock gardens or containers.",
Aloe rauhii,"
","Aloe rauhii is a small, clumping aloe from Madagascar with thick, blue-green leaves edged in reddish teeth. It makes short spikes of tubular orange-red flowers and grows slowly in rock gardens or pots, preferring bright light and good drainage.",
Didieria madagascariensis,"
","Didieria madagascariensis is a spiny, drought‑tolerant shrub or small tree native to Madagascar’s dry spiny forests. It has thick succulent stems with clusters of small leaves and sharp thorns, and bears modest pale flowers and fruits.",
Euphorbia aff croizatii ,"
","Euphorbia aff croizatii is a small, cactus-like succulent with ribbed or cylindrical spiny stems and tiny inconspicuous flowers. It produces a milky, irritating sap. Drought-tolerant and easy to grow in bright light with well-draining soil; handle with care.",
Euphorbia betrokana,"
","Euphorbia betrokana is a small, spiny succulent shrub from Madagascar with thick, water-storing stems and seasonal small leaves. It produces milky, toxic sap and clusters of tiny cup-like flowers called cyathia. Drought-tolerant and adapted to rocky, dry habitats.",
Euphorbia capsaintemariensis,"
","Euphorbia capsaintemariensis is a small, low-growing succulent from southern Madagascar. It forms clumps of fleshy, blue-green stems, bears tiny cup-like flowers (cyathia), and stores water for drought. Its milky sap is irritating, so handle with care.",
Euphorbia croizatii ,"
","Euphorbia croizatii is a small succulent spurge native to Madagascar. It forms compact, fleshy, branching stems with tiny leaves and small, simple flowers. It exudes milky sap, tolerates dry, rocky habitats, and is popular with succulent collectors.",
Euphorbia decaryi ,"
","Euphorbia decaryi is a low-growing, mat-forming succulent from Madagascar. It has creeping, cylindrical bluish-green stems and small cup-shaped yellow to red flowers. Drought-tolerant and sun-loving, it’s popular in rock gardens and containers for its compact, attractive habit.",
Euphorbia decaryi var. spirosticha,"
","Euphorbia decaryi var. spirosticha is a low, creeping succulent from Madagascar that forms mats of twisted, pencil-like stems. It has tiny leaves and small, colorful cyathia (flower-like blooms). Drought-tolerant and compact, it suits rock gardens or containers. Handle with care; sap can irritate skin.",
Euphorbia duranii ,"
","Euphorbia duranii is a small, clump-forming succulent with fleshy, cylindrical green stems. It prefers bright light, sharp drainage and infrequent watering. It produces tiny flowers and contains a milky, toxic sap—handle with care. Great for rock gardens or cactus collections.",
Euphorbia genoudiana ,"
","Euphorbia genoudiana is a small, compact succulent spurge native to Madagascar. It forms fleshy stems or clumps, often with tiny leaves, and bears small yellow-green cyathia (flower-like structures). It contains milky sap, so handle with care.",
Euphorbia hedyotoides,"
","Euphorbia hedyotoides is a small succulent spurge with fleshy, cylindrical stems and often tiny or no leaves. It produces small, yellowish cyathia (flower-like structures), prefers bright light and well-draining soil, is drought-tolerant, and has toxic milky sap—handle with care.",
Euphorbia millii var. roseana,"
","Euphorbia millii var. roseana, a compact, thorny succulent shrub, bears clusters of rose‑colored bracts around tiny flowers. Drought‑tolerant and sun‑loving, it makes a popular indoor or patio plant. Sap is milky and poisonous—avoid skin or eye contact.",
Euphorbia platyclada,"
","Euphorbia platyclada is a low, leafless succulent from Madagascar with flat, sprawling greenish-brown stems that look like twigs. It grows close to the ground, bears tiny cyathia (flowers), stores water in its stems, and has milky sap that can irritate skin.",
Euphorbia platyclada var. hardyi,"
","Euphorbia platyclada var. hardyi is a low-growing, leafless succulent with flattened, ribbon-like green stems that sprawl across the ground. It makes tiny flower clusters (cyathia) and contains a milky, irritating sap—handle carefully.",
Kalanchoe beauverdii,Widow's Thrill,"Kalanchoe beauverdii is a small, easy-care succulent with thick, scalloped leaves and upright stems that bear clusters of tubular, bell-like flowers. It prefers bright light, well-drained soil and infrequent watering, making it a hardy choice for pots or sunny windowsills.",
Kalanchoe beharensis,Velvet Elephant Ear,"Kalanchoe beharensis is a slow-growing succulent from Madagascar with large, velvety, triangular scalloped leaves that are brownish-green and fuzzy underneath. It forms an architectural, branched shrub, prefers bright light and well-draining soil, and tolerates periods of drought.",
Kalanchoe bracteata,Silver Teaspoons,"Kalanchoe bracteata is a compact, easy-care succulent with glossy, fleshy leaves and upright stems that bear small clustered tubular flowers. It prefers bright light, well-draining soil and infrequent watering, making it ideal for pots, windowsills, and beginner gardeners.",
Kalanchoe dinklagei,"
","Kalanchoe dinklagei is a small succulent forming low clumps of thick, scalloped-edged leaves. It’s drought-tolerant, prefers bright light and well-draining soil, and sends up slender stalks of small tubular flowers. Easy to grow as a houseplant or in rock gardens.",
Kalanchoe orgyalis,Copper Spoons,"Kalanchoe orgyalis is a small, easy-care succulent with glossy brown-to-copper paddle-shaped leaves and a paler underside. It forms compact shrubs and produces clusters of tubular yellow flowers in winter. Prefers bright light, well-draining soil, and infrequent watering.",
Kalanchoe rhombopilosa,"
","Kalanchoe rhombopilosa is a small, slow-growing Madagascar succulent with thick, rhomboid gray-green leaves fringed by brown scalloped edges. It forms low clumps and tiny tubular flowers. Easy-care: bright light, well-draining soil, and infrequent watering.",
Kalanchoe viguieri ,"
","Kalanchoe viguieri is a succulent shrub from Madagascar with thick, fleshy leaves and woody stems. It forms upright clumps and produces clusters of small tubular flowers. Easy-care and drought-tolerant, it prefers bright light and well-draining soil.",
Kalanchoe viguieri var. angustisepala,"
","A small, drought-tolerant succulent from Madagascar, Kalanchoe viguieri var. angustisepala forms compact rosettes of fleshy leaves and produces clusters of narrow-sepaled tubular flowers. Easy-care, prefers bright light and well-draining soil; good for pots and rock gardens.",
Kleinia madagascariensis,"
","Kleinia madagascariensis is a drought-tolerant succulent from Madagascar. It forms fleshy, often-branching stems with simple leaves and produces small yellow, daisy-like flowers. Easy to grow in bright light and well-drained soil, ideal for pots or rock gardens.",
SENECIO DESCOINGSII,"
","Senecio descoingsii is a low-growing succulent from southern Africa. It forms tight clumps of fleshy, blue-green leaves and produces small yellow, daisy-like flowers. Drought-tolerant and easy to grow, it prefers bright light and well-draining soil.",
Senna meridionalis,"
","Senna meridionalis is a small leguminous shrub with pinnate (compound) leaves, bright yellow pea-like flowers in clusters and flat seed pods. It blooms in warm months, attracts bees and butterflies, and is often grown for ornament and habitat enhancement.",
Agave 'Blue Glow',Blue Glow Agave,"Agave 'Blue Glow' is a compact, slow-growing succulent with a tight rosette of blue-green leaves edged in creamy to pink margins. Drought-tolerant and low-maintenance, it thrives in sunny, well-drained spots or containers, making a striking architectural focal point.",
Agave albopilosa,White Hair Agave,"Agave albopilosa is a small, slow-growing Mexican succulent forming compact rosettes of soft, gray-green leaves covered in fine white hairs. Leaves have tiny marginal teeth and a sharp tip. It flowers once on a tall spike, then the rosette dies, often producing pups.",
Agave americana subsp. americana,"
","Agave americana subsp. americana, the century plant, is a large, slow-growing succulent with rosettes of thick blue-green, spiny leaves. It sends up a dramatic tall flower spike once before dying. Extremely drought-tolerant, it’s popular in dry gardens and landscapes.",
Agave angustifolia,Mescal Agave,"Agave angustifolia is a narrow-leaved agave forming a compact rosette of blue-green, tooth-edged leaves tipped with a sharp spine. Drought-tolerant and sun-loving, it produces a tall flowering stalk once in its life. Often grown as an ornamental and used in mezcal production.",
Agave attenuata ,Lion's Tail Agave,"Agave attenuata, or foxtail agave, is a spineless succulent with a rosette of soft, arching pale-green leaves. Slow-growing and drought-tolerant, it sends up a dramatic curved flower spike and thrives in containers or sunny, well-drained garden spots.",
Agave attenuata variegata,"
","Agave attenuata variegata is a striking, spineless agave with soft, green leaves edged in creamy yellow. It forms graceful rosettes and clumps of offsets, producing tall flower spikes. Drought-tolerant and low-maintenance, it thrives in sun or light shade.",
Agave bovicornuta 'Reggae Time',Cowhorn Agave,"Agave bovicornuta 'Reggae Time' is a compact, rosette-forming succulent with blue-green, fleshy leaves edged by reddish, cow‑horn-like teeth. It makes a striking architectural accent, tolerates heat and drought, prefers full sun and well-draining soil, and needs minimal water.",
Agave bracteosa,"
","Agave bracteosa is a small, spineless agave from Mexico forming low rosettes of smooth, flexible, curling blue-green leaves. It sends up a tall flower stalk with pale green blooms, produces offsets, and is prized for drought-tolerant, low-maintenance gardens.",
Agave mitis,"
","Agave mitis is a small, clumping succulent from Mexico with low, neat rosettes of soft blue-gray, spoon-shaped leaves and tiny marginal teeth. Slow-growing and drought-tolerant, it sends up a tall flower stalk once, then the main rosette dies leaving offsets.",
Agave polianthiflora,Tuberose-flowered Agave,"Agave polianthiflora is a small, clumping succulent with slender, blue-gray, gently twisted leaves edged with tiny teeth. Native to Mexico, it’s drought-tolerant and slow-growing, sending up a tall stalk of many pale-green tubular flowers before the rosette dies.",
Agave potatorum,"
","Agave potatorum, the butterfly agave, forms a compact rosette of blue-gray, spoon-shaped leaves with toothed margins and a sharp tip. Slow-growing and drought-tolerant, it suits containers and rock gardens, sending up a tall flowering stalk once before the main rosette declines.",
Agave potatorum 'Kissho Kan',Lucky Crown Agave,"Agave potatorum 'Kissho Kan' is a compact, slow-growing dwarf agave forming a tight rosette of thick, scalloped leaves with small marginal teeth. Ideal for containers or rock gardens, it's drought-tolerant, prefers sun and very well-drained soil, and needs little care.",
Agave tequilana,Tequila agave,"Agave tequilana, or blue agave, is a Mexican succulent with thick, spiny blue-green leaves in a tight rosette. It flowers once after several years; its sweet core is harvested to make tequila. Drought-tolerant and widely grown commercially.",
Agave titanota,Chalk Agave,"Agave titanota is a compact, slow-growing succulent forming a striking rosette of thick, blue-gray leaves edged with large teeth and a sharp tip. It stays small (usually under 3 feet), loves full sun, well-drained soil, and is drought-tolerant.",
Agave victoriae-reginae,Queen Agave,"Agave victoriae-reginae is a small, slow-growing succulent from Mexico that forms a tight rosette of thick green leaves marked with white lines and ending in sharp tips. Drought-tolerant and compact, it’s ideal for rock gardens, containers, and dry landscapes.",
Astrophytum myriostigma,Bishop's Cap,"Astrophytum myriostigma, called bishop's cap, is a spineless, star-shaped cactus from Mexico. It has ribbed green stems with white speckles and produces yellow, daisy-like flowers. Slow-growing and drought-tolerant, it prefers bright light and well-draining soil.",
Astrophytum ornatum,Star Plant,"Astrophytum ornatum is a slow-growing, column-shaped cactus with pronounced ribs and white speckling on dark green skin. It produces bright yellow flowers and thrives in bright light, warm temperatures, and well-draining soil. Popular and drought-tolerant for cactus collections.",
Beaucarnea recurvata ,Pony Tail Palm,"Beaucarnea recurvata, the ponytail palm, is a slow-growing, drought-tolerant houseplant with a swollen, water-storing trunk and long, arching straplike leaves. It likes bright light, minimal watering, and makes an easy, sculptural addition to homes or patios.",
Echeveria carnicolor,Red Echeveria,"Echeveria carnicolor is a compact, rosette-forming succulent with thick, powdery leaves that blend green, cream and pink tones. It produces small flower stalks and offsets. Easy to grow, it prefers bright light, well-draining soil and infrequent watering.",
Echinocereus brandegeei,"
","Echinocereus brandegeei is a small clumping hedgehog cactus with cylindrical, ribbed stems and sharp spines. It produces showy pink to magenta spring flowers. Native to rocky, dry places, it tolerates heat, sun, and infrequent watering—ideal for pots or rock gardens.",
Echinocereus pentalophus,Lady Finger Cactus,"Echinocereus pentalophus is a small, clumping cactus with slender, five-ribbed stems that arch or trail. It produces bright pink to magenta, funnel-shaped flowers in spring. Easy-care, drought-tolerant, it prefers full sun and well-draining soil.",
Euphorbia lomelii,Slipper Plant,"Euphorbia lomelii is a drought-tolerant succulent shrub from Mexico with thick, cylindrical green stems that form dense clumps. It bears small bright red‑orange, slipper‑shaped flowers and has a milky sap that can irritate skin—good for dry rock gardens.",
Ferocactus hystrix,Fish-hook Cactus,"Ferocactus hystrix is a barrel-shaped desert cactus with thick ribbed stems and strong hooked spines. It forms solitary or clustered clumps and produces colorful funnel-shaped flowers and small fruits. Adapted to hot, dry habitats, it prefers full sun and minimal water.",
Ferocactus pilosus,Mexican Fire Barrel,"Ferocactus pilosus is a stout, barrel-shaped cactus with thick ribs, woolly areoles and strong, often curved spines. It produces bright, funnel-shaped flowers and small fruits. Native to Mexico, it tolerates heat and drought and suits rock gardens.",
Ferocactus rectispinus,"
","Ferocactus rectispinus is a barrel-shaped cactus with stout, straight spines giving a bold, architectural look. Native to arid areas, it grows slowly into solitary or clumping mounds and produces showy flowers and small fruit. Durable and drought-tolerant.",
Graptopetalum amethystinum,Lavender Pebbles,"Graptopetalum amethystinum is a low-growing succulent with thick, plump, powdery purple-lavender leaves in neat rosettes. It forms spreading clumps and bears small star-shaped pale pink flowers. Easy-care: needs bright light, well-draining soil and occasional watering.",
Graptopetalum paraguayense,"
","Graptopetalum paraguayense, or ghost plant, is a low-growing, trailing succulent with pale blue-gray to pinkish rosettes of thick, fleshy leaves. It forms mats and offsets, blooms small star-shaped white-pink flowers, and is drought-tolerant and easy to grow in bright light.",
Hamatocactus hamatacanthus subsp. hamatacanthus,Yellow Turk's Head,"Hamatocactus hamatacanthus subsp. hamatacanthus is a small, slow-growing globular cactus with stout, often hooked spines. It produces showy yellow to orange funnel-shaped flowers and prefers sunny, well-drained, dry soils. Native to arid parts of Mexico, it suits rock gardens or containers.",
Leuchtenbergia principis,Prism cactus,"Leuchtenbergia principis is a striking, slow-growing cactus from Mexico that forms a rosette of long triangular tubercles ending in papery, pointed tips. It produces yellow flowers and prefers bright sun, warm dry conditions and sharp, well-draining soil, popular with collectors.",
Lophocereus schottii,Old Man Cactus,"Lophocereus schottii, the senita cactus, is a slow-growing columnar cactus with blue-green, ribbed stems and short spines. It bears nocturnal white flowers and sweet fruits, thrives in hot dry deserts, and is pollinated by a specialized senita moth.",
Mammillaria decipiens,Bird's Nest Mammillaria,"Mammillaria decipiens is a small clumping cactus that forms low mats of rounded stems covered in tubercles and short spines. In spring it produces a ring of pink to white flowers, followed by tiny red fruits. Prefers bright light and well drained soil.",
Mammillaria geminispina,Twin-spine cactus,"Mammillaria geminispina is a small, clustering cactus with rounded stems covered in dense white radial spines and darker hooked central spines. It bears bright pink to magenta funnel-shaped flowers and prefers strong light, well-draining soil, and warm, dry conditions.",
Mammillaria hahniana 'Super Clone',Old Lady Cactus,"Mammillaria hahniana 'Super Clone' is a small, clumping cactus with dense white wool and silvery spines. It produces bright pink, funnel-shaped flowers in spring. Easy to grow, it prefers bright light, well-draining soil and infrequent watering.",
Mammillaria parkinsonii,Owl-Eye Pincushion,"Mammillaria parkinsonii is a small clumping cactus native to central Mexico. Rounded stems are covered in tubercles and spines. In spring it makes a ring of pink to magenta funnel-shaped flowers, followed by small red fruits. Prefers bright light and well-drained soil.",
Mammillaria petterssonii,"
","Mammillaria petterssonii is a small, clumping cactus with rounded stems covered in soft tubercles and short radial spines. It produces rings of small pink to magenta flowers. Easy to grow, it prefers bright light and well‑draining, dry soil.",
Mammillaria vetula,"
","Mammillaria vetula is a small, clumping cactus from Mexico that forms cushions of round green stems covered with tiny tubercles and short spines. It produces small pink or lavender flowers and red fruits, and grows well in bright, dry conditions.",
Lophocereus marginatus,Mexican fencepost,"Lophocereus marginatus, the Mexican fencepost cactus, is a tall, columnar cactus with blue-green, ribbed stems and short spines. It’s drought-tolerant, grows into upright columns or hedges, prefers full sun and well-draining soil—great for low-care gardens.",
Opuntia aciculata,Cowboy's Whiskers ,"Opuntia aciculata is a low-growing prickly pear cactus with flat oval pads covered in dense fine barbed spines (glochids). It bears bright yellow to orange flowers and red fruits. Drought-tolerant and sun-loving, it prefers well-drained soil.",
Opuntia robusta,Dinner Plate Cactus,"Opuntia robusta is a hardy prickly pear cactus native to Mexico. It forms shrubby, tree-like clumps of large rounded blue-green pads covered in tiny spines and glochids. It bears bright pink flowers and edible red fruit.",
Lophocereus schottii f. monstrosus,Totem Pole Cactus,"Lophocereus schottii f. monstrosus is a slow-growing, monstrose form of the senita cactus. It has thick, twisted, brain-like columnar stems with irregular bumps and few spines. Hardy and sculptural, it makes a striking specimen in dry gardens or containers.",
Pachycereus sp.,Cardon,"Pachycereus are large columnar cacti native to Mexico and the southwestern United States. They grow tall, tree-like stems with thick ribs, produce white night-blooming flowers and edible fruits, and tolerate extreme drought, supporting desert wildlife and landscape uses.",
PACHYPHYTUM BRACTEOSUM,Moonstones,"Succulent Pachyphytum bracteosum forms small rosettes of plump, powdery blue-green leaves that slowly cluster into mounds. In season it sends tall stalks of pink to red bell-shaped flowers. Easy to grow, it prefers bright light and well-draining soil.",
Sedum adolphii,"
","Sedum adolphii, called golden sedum, is a low-growing succulent with fleshy golden-green leaves that blush red in strong sun. It forms trailing rosettes and small yellow star-shaped flowers. Easy-care and drought-tolerant, ideal for containers, rock gardens, and sunny spots.",
Sedum morganianum,Burro's Tail,"Sedum morganianum, called burro’s tail or donkey tail, is a trailing succulent with plump blue-green teardrop leaves that spill from hanging baskets. It’s drought-tolerant, likes bright light and well-draining soil, and bears small pink star-shaped flowers.",
Cleistocactus hyalacanthus,Silver Torch,"Cleistocactus hyalacanthus is a tall, slender columnar cactus with many thin stems covered in short golden or whitish spines. It bears narrow, tubular red-orange flowers that stay mostly closed, attracting hummingbirds and adding color to rock or cactus gardens.",
Fouquieria splendens,Ocotillo,"Fouquieria splendens, commonly called ocotillo, is a spiny desert shrub with tall, whip-like stems that leaf out after rain and bloom bright red tubular flowers along the stems. Native to southwestern North American deserts, it attracts hummingbirds and tolerates heat and poor soils.",
Ariocarpus fissuratus,LIVING ROCK CACTUS,"Ariocarpus fissuratus is a slow-growing, spineless cactus that looks like a low, gray-green button on the ground. Native to dry, rocky deserts of Texas and Mexico, it has triangular, warty tubercles and displays pink to magenta flowers in autumn.",
ADENIA SPINOSA,"
","Adenia spinosa is a small, thorny caudiciform shrub from southern Africa with a swollen water-storing trunk, spiny stems and seasonal lobed leaves. Drought-tolerant and slow-growing, it makes an unusual, sculptural container plant prized by collectors.",
Aloe alooides,Graskop Aloe,"Aloe alooides is a small, easy-care succulent with rosettes of thick, blue-green leaves edged with tiny teeth. It sends up tall stalks of tubular orange-red flowers that attract pollinators. Prefers sunny, well-drained spots and tolerates drought.",
Aloe arborescens,Octopus Aloe,"Aloe arborescens is a spreading, shrub-like succulent with thick, spiny, gray-green leaves in rosettes. In winter it sends up tall stalks of bright red-orange tubular flowers that attract birds and pollinators. Drought-tolerant and widely used in gardens and traditional medicine.",
Aloe broomii,Mountain Aloe,"Aloe broomii is a small to medium spiky aloe forming a rosette of thick, fleshy leaves edged with teeth. In spring it sends tall stalks of orange-red tubular flowers that attract birds. Very drought-tolerant and easy to grow.",
Aloe ferox,BItter Aloe,"Aloe ferox is a large, stemless succulent from South Africa with thick, spiky, grey-green leaves and tall stalks of bright orange-red tubular flowers. Drought-tolerant and hardy, it’s used in gardens and traditional medicine for skin and digestive remedies.",
Aloe krapohliana,Tree Aloe,"Aloe krapohliana is a compact, drought-tolerant succulent forming tight rosettes of thick, blue-green leaves edged with small teeth. In season it produces tall stems of tubular orange-red flowers. Easy to grow, it suits rock gardens, containers and dry landscapes.",
Aloiampelos ciliaris,Climbing Aloe,"Aloiampelos ciliaris is a vine-like succulent with long, spiky green leaves fringed by tiny hairs. It climbs or scrambles and produces tall spikes of bright red-orange tubular flowers that attract birds. Native to South Africa, it’s hardy and drought-tolerant.",
Boophane disticha,"
","Boophane disticha is a South African bulbous plant with flat, two-ranked leaves and a tall leafless stalk bearing a cluster of showy pink to salmon funnel-shaped flowers. It handles dry, rocky soils and has a poisonous bulb that was used traditionally as arrow poison.",
Bowiea volubilis,Climbing Onion,"Bowiea volubilis, the climbing onion, is a bulbous succulent with a round underground bulb and thin, twining green stems. Native to Africa, it tolerates drought, prefers bright light and well-draining soil, and bears tiny flowers; all parts are mildly toxic.",
Crassula  arborescens,Silver Jade Plant,"Crassula arborescens, called the silver dollar or jade plant, is a small woody succulent with thick round bluish-green leaves that often turn red at the edges in sun. It forms compact shrubs with pale pink star-shaped flowers. Easy-care, drought-tolerant; prefers bright light and well-draining soil.",
Crassula ovata,Jade Plant,"Crassula ovata, commonly called the jade plant, is a popular succulent with thick, glossy oval leaves and woody stems. It stores water, prefers bright light and infrequent watering, and makes a low-maintenance indoor or outdoor ornamental that can live many years.",
Crassula ovata 'Hobbit',Hobbit Jade,"Crassula ovata 'Hobbit' is a compact succulent with thick woody stems and chubby tubular leaves curled at the tips like little horns. Easy-care and slow-growing, it prefers bright light, well-draining soil, and infrequent watering, and may produce small pink flowers.",
Cyphostemma juttae,Namibian Grape,"Cyphostemma juttae is a drought-tolerant, caudiciform succulent from Namibia and South Africa. It forms a dramatic swollen, bottle-shaped trunk topped by a crown of pinnate leaves, bears small clustered flowers and grape-like fruit, and is grown as a striking ornamental or bonsai.",
Euphorbia horrida 'Snowflake',"
","Euphorbia horrida 'Snowflake' is a spiny, cactus-like succulent with dark green, ribbed stems dusted with white speckles that resemble snow. Compact and drought-tolerant, it forms columnar clumps with sharp spines and small flowers; milky sap may irritate skin.",
Euphorbia obesa,Living Baseball,"Euphorbia obesa, the ""baseball plant"", is a round, slow-growing succulent from South Africa. It forms green, ribbed balls with faint stripes and small summer flowers. Easy to grow in bright light and well-draining soil; its milky sap is toxic—avoid contact.",
Gasteria excelsa,"
","Gasteria excelsa is a South African succulent with thick, straplike leaves covered in rough bumps or white spots. It forms clumps, grows slowly, and sends up tall stalks of tubular pinkish flowers. Easy care: bright, indirect light and well-draining soil.",
Haemanthus albiflos,White Paintbrush,"Haemanthus albiflos is a bulbous evergreen from South Africa with broad, glossy strap-shaped leaves. In winter or spring it produces round clusters of white, brush-like flowers with yellow stamens. Easy-care, it tolerates shade and dry conditions, great for pots or gardens.",
Lithops geyeri,"
","Lithops geyeri is a tiny “living stone” succulent with paired, round fleshy leaves patterned in gray-green and brown spots. Native to arid southern Africa, it produces yellow daisy-like flowers and needs bright light, excellent drainage, and very little water.",
Lithops hookeri,"
","Lithops hookeri is a tiny ""living stone"" succulent with two thick, patterned leaves that mimic pebbles to avoid grazing. It grows slowly, forms solitary or clustered heads, flowers with daisy-like blooms, and thrives in bright light with very little water.",
Pachypodium saundersii,"
","Pachypodium saundersii is a spiny, succulent shrub from southern Africa with a thick water-storing trunk and narrow, glossy leaves. It bears clusters of fragrant, tubular white to pink flowers and tolerates drought, making it a popular, low-maintenance ornamental for sunny, well-drained spots.",
Curio ficoides,"
","Curio ficoides is a low-growing succulent with fleshy, spoon-shaped blue-green leaves that form tight clumps. It produces short stems and occasional small white flowers. Drought-tolerant and easy to grow, it prefers bright light and well-draining soil—ideal for pots or rock gardens.",
Kleinia stapeliiformis,Inch Worm Plant,"Kleinia stapeliiformis is a low-maintenance succulent with pencil-like, jointed green stems that look like cacti. It forms trailing clumps perfect for pots or hanging baskets, tolerates drought and bright sun, and produces small orange-yellow daisy-like flowers.",
Strelitzia juncea,Bird of Paradise,"Strelitzia juncea, the rush-leaved bird-of-paradise, is an evergreen South African perennial with narrow, cylindrical leaves and dramatic orange-and-blue crane-like flowers. It forms a clumping shrub to about 2–3 m, tolerates drought and sun, and is a popular ornamental.",
Tylecodon paniculatus,Butter Tree,"Tylecodon paniculatus is a slow-growing succulent shrub from southern Africa. It has thick, gray-green leaves on stout stems and produces showy clusters of tubular yellow to orange flowers in panicles. It prefers sunny, well-drained, rocky sites and tolerates drought.",
Welwitschia mirabilis,Welwitschia,"Welwitschia mirabilis is a strange, ancient desert plant from the Namib Desert. It grows only two long, ribbon-like leaves that split and fray, a short woody stem, and deep roots. It can live many centuries and survives on fog and scarce rain.",
Begonia ruhlandiana,"
","Begonia ruhlandiana is a compact, shade-loving perennial begonia with asymmetrical, textured leaves and clusters of small delicate flowers. It prefers bright, indirect light, consistently moist but well-draining soil, and warm, humid conditions, making it an attractive indoor or shaded garden plant.",
Bromelia balansae,Heart of Flame,"Bromelia balansae is a large, ground-forming bromeliad from South America with stiff, spiny-edged leaves arranged in a rosette. It produces a tall central flower spike with bright red-orange bracts and tubular blooms, then often makes pups after flowering.",
Cleistocactus sp.,"
","Cleistocactus species are slender, upright cacti with many ribs and spines. They form tall columnar stems and produce tubular, often brightly colored flowers that sometimes stay partly closed. Easy to grow in bright light and well-draining soil, they make striking container plants.",
Copiapoa coquimbana,"
","Copiapoa coquimbana is a slow-growing, globular to short columnar cactus from Chile’s coastal Atacama near Coquimbo. It forms clumps of gray-green stems with short spines and yellow flowers. Drought-tolerant and fog-adapted, it prefers rocky, well-draining soil.",
